Titulo,Código,Autor,Assunto,Valor
50 Tons da Vida,36,Roberto Livianu,"Literatura brasileira, Crônicas","R$39,90"
530 Gramas de Ilustrações,37,Marcelo Cipis,"Arte, Ilustração e pintura, Humor","R$63,00"
A Um - Poemas,38,Robert Creeley,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução","R$41,00"
A.S.A. - Associação dos Solitários Anônimos,39,Rosario Fusco,"Literatura brasileira, Romance","R$58,00"
"Acústica Musical em Palavras e Sons, A",40,Flo Menezes,"Ilustrado, Música","R$81,00"
Adeus Penderama e Outros Escritos,41,José Paulo Cavalcanti Filho,"Memória, Literatura brasileira","R$42,00"
Adoniran Barbosa - O Poeta da Cidade,42,Francisco Rocha,"Música, Memória, Ilustrado","R$53,00"
Adorável Criatura Frankenstein,43,Ademir Assunção,"Literatura brasileira, Romance","R$42,00"
"Afeto Autoritário, O - Televisão, Ética e Democracia",44,Renato Janine Ribeiro,"Comunicação, Sociologia e Sociedade, Cultura","R$42,00"
"Afinador de Passarinhos, O",45,Gil Perini,"Literatura brasileira, Contos","R$38,00"
Albert Camus - Um Elogio do Ensaio,46,Manuel da Costa Pinto,"Crítica literária, Literatura estrangeira","R$42,00"
Aldo Manuzio - Editor. Tipógrafo. Livreiro,47,Enric Satué,"Design, Tipografia, Artes gráficas, Ilustrado","R$68,00"
Alguma Crítica,48,João Alexandre Barbosa,"Crítica literária, Literatura","R$55,00"
Almanaque Tipográfico Brasileiro,49,Carlos M. Horcades,"Design, Tipografia, Almanaque, Artes gráficas, Ilustrado","R$67,00"
Alongamento,50,Sérgio Medeiros,"Literatura brasileira, Poesia","R$51,00"
"Altar & o Trono, O - Dinâmica do Poder em O Alienista",51,Ivan Teixeira,"Literatura brasileira, Crítica literária","R$106,00"
Amaro Macedo - O Solitário do Cerrado,52,"Gil Felippe, Maria do Carmo Duarte Macedo","Memória, Biografia, Botânica, Ilustrado","R$39,00"
Amers / Marcas Marinhas,53,"Saint-John Perse, Mauro Gama","Poesia, Literatura estrangeira, Bilíngue","R$86,00"
Ancora Medicinal para Conservar a Vida com Saúde,54,Francisco da Fonseca Henriquez,"Gastronomia, Culinária, Medicina e Saúde","R$92,00"
Andaimes,55,Milton Torres,"Literatura brasileira, Poesia","R$58,00"
"Anfiteatro, O - Textos sobre Medicina",56,Pedro Nava,"Memória, Medicina e Saúde, Ilustrado","R$40,00"
Angola e Moçambique - Experiência Colonial e Territórios Literários,57,Rita Chaves,"Crítica literária, Literatura africana","R$45,00"
Angu de Sangue - 3a. ed.,58,Marcelino Freire,"Contos, Ilustrado, Literatura brasileira","R$52,00"
Anima Mundi,59,Ricardo Pires de Souza,"Literatura brasileira, Poesia","R$79,00"
Animal de Silêncios,60,Jaime Labastida,"Poesia, Literatura estrangeira, Bilíngue","R$39,00"
"Anos de Exílio do Jovem Mallarmé, Os",61,Joaquim Brasil Fontes,"Crítica literária, Literatura estrangeira","R$42,00"
Antologia da Poesia Erótica Brasileira,62,Eliane Robert Moraes,"Ilustrado, Literatura brasileira, Poesia","R$92,00"
Antologia Fantástica da Literatura Antiga,63,Marcelo Castel Cid,"Cultura grega, Literatura, Literatura clássica","R$76,00"
Antologia Poética,64,Jorge Wanderley,"Literatura brasileira, Poesia","R$58,00"
Antologia Poética - 1987-2017,65,Marcelo Sandmann,Poesia,"R$39,90"
Ao Vires Isto - Gertrude Stein,66,"João Queiroz, Daniella Aguiar, Luci Collin","Teoria literária, Literatura, Crítica literária","R$44,90"
Apoteose de Schoenberg,67,Flo Menezes,"Música, Crítica musical","R$83,00"
Arabia Brasilica,68,Alberto Sismondini,"Crítica literária, Cultura árabe, Cultura islâmica, Teoria literária","R$45,00"
"Arca de Noésio, A",69,Gustavo Martins,"Literatura brasileira, Infantil, Ilustrado","R$19,00"
"Arquétipos Literários, Os",70,Eleazar M. Meletínski,"Teoria literária, Literatura","R$39,50"
"Arquétipos Literários, Os - 3a ed.",71,Eleazar M. Meletínski,"Crítica literária, Teoria literária","R$45,00"
